"","pop","male_pop","white_pop","hisp_pop","med_age","black_pop","asian_pop","nonfluent_english_pop","pov","inc_under10","inc_10to15","inc_15to20","inc_20to25","inc_25to30","inc_30to35","inc_35to40","inc_40to45","inc_45to50","inc_50to60","inc_60to75","inc_75to100","inc_100to125","inc_125to150","inc_150to200","inc_over200","medianinc","ed_LThighschool","ed_college","year","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","zip_code"
"75",30628,15048,273,19955,27.9,9704,71,8650,7232,606,786,446,552,520,438,416,340,368,602,977,954,453,218,133,47,42622,5937,876,2011,0.891341256366723,65.1528013582343,0.231814026381089,31.6834269296069,49.1315136476427,28.2421313830482,41.6076809867545,6.1391828439274,23.6123808280005,"90222"
"76",32019,14751,12049,10934,39.5,3666,4234,3433,3161,581,454,652,652,463,644,478,496,418,923,1302,1818,1272,762,1226,1045,68870,2022,8866,2011,37.6307817233518,34.1484743433586,13.223398607077,11.4494518879415,46.0695212217746,10.7217589556201,11.1694194332431,48.9753079600066,9.87226334363971,"90230"
"77",15001,7697,6993,3905,39.6,1238,2219,757,1018,395,260,325,258,201,305,180,283,163,441,563,756,542,449,580,664,70341,674,4837,2011,46.6168922071862,26.0315978934738,14.7923471768549,8.25278314779015,51.3099126724885,5.04633024465036,7.28097655828022,52.2523495732959,6.78621425238317,"90232"
"78",25398,12819,5349,17430,37.3,417,1968,4772,2191,177,170,407,246,309,326,393,289,321,628,677,1319,805,491,590,414,69032,2523,3511,2011,21.0607134420033,68.6274509803922,7.74864162532483,1.64186156390267,50.4724781478857,18.7888810142531,18.787698264949,26.1449102688212,8.62666351681235,"90240"
"79",43558,21501,7939,30502,34.5,1516,3278,8743,4716,392,635,807,725,583,650,639,711,582,1514,1688,1846,1212,595,688,456,57846,5093,4150,2011,18.22627301529,70.026172000551,7.52559805317048,3.4804169153772,49.3617705128794,20.0720877909913,22.179157775552,18.0725514958847,10.8269433858304,"90241"
"80",42373,21373,6227,31017,32,2215,2444,8731,5482,490,476,723,640,557,627,526,477,681,1054,1722,1487,1102,748,581,198,56831,5921,3941,2011,14.6956788520992,73.1999150402379,5.76782385009322,5.22738536332098,50.4401387676115,20.6051023057135,26.5849497126437,17.6948635057471,12.9374837750454,"90242"
"81",16597,8448,11465,3207,38.8,110,1040,395,575,207,217,209,193,190,167,317,134,119,508,760,1014,885,527,902,745,88486,223,5269,2011,69.078749171537,19.3227691751521,6.26619268542508,0.662770380189191,50.9007651985299,2.37994818340664,2.22310836407138,52.5271657860632,3.46448153280713,"90245"
"82",46729,22053,2797,21975,35.2,8580,12261,8794,9857,1474,1345,1112,1026,883,1100,1005,709,773,1454,1775,1761,705,620,438,168,41560,5231,5009,2011,5.98557640865415,47.0264717841169,26.2385242568854,18.3611889832866,47.193391683965,18.8191487085108,21.3868105809722,20.4791692219633,21.0939673436196,"90247"
"83",10268,5436,1028,4383,43.7,1067,3459,1600,739,109,234,184,112,135,210,193,138,213,304,582,497,291,98,144,152,58692,1248,1506,2011,10.0116867939229,42.6860148032723,33.6871834826646,10.391507596416,52.9411764705882,15.5823918971562,22.7903579254931,27.5018261504748,7.19711725749903,"90248"
"84",26735,13033,3761,9579,36.7,7989,4570,3174,3489,587,405,391,650,337,591,484,348,264,548,1052,1328,812,482,452,261,57281,2526,3341,2011,14.0677015148681,35.8294370675145,17.0936974004114,29.8821769216383,48.7488311202544,11.8720778006359,17.2588138835747,22.8272752118065,13.0503085842529,"90249"
