"","year","county","zip_code","SASH_sys_installed","SASH_avg_size_DC","SASH_avg_incentive","SASH_avg_syscost","total_sys_installed","total_avg_size_DC","SASH_installations_share","county_medianinc","pop","med_age","pov","inc_under10","inc_over200","medianinc","ed_LThighschool","ed_college","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate","SASH_install_rate_10000","total_install_rate_10000","inc_threshold","inc_under15","inc_under20","inc_under25","inc_under30","inc_under35","inc_under40","inc_under45","inc_under50","inc_under60","inc_under75","inc_under100","inc_under125","inc_under150","inc_under200","total_hh","eligible_hh","eligibilityshare"
"49",2011,"Amador","95640",0,0,0,0,7,0,0,56180,11152,42.6,916,105,44,68375,1578,848,65.8895265423242,22.4533715925395,1.84720229555237,6.85078909612626,67.1538737446198,2.34038737446198,21.84687802852,11.7402741243251,8.21377331420373,0,6.27690100430416,44944,216,343,399,539,647,712,813,918,1141,1407,1863,2184,2464,2616,2660,811.8688,0.305213834586466
"50",2011,"Amador","95642",0,0,0,0,8,0,0,56180,6330,46.7,885,245,67,50938,299,570,81.3586097946288,13.2227488151659,1.78515007898894,0.600315955766193,49.0521327014218,2.49605055292259,8.94138755980861,17.0454545454545,13.9810426540284,0,12.6382306477093,44944,399,478,636,772,933,1018,1224,1342,1535,1876,2250,2486,2608,2674,2741,1221.6928,0.445710616563298
"51",2011,"Amador","95665",0,0,0,0,4,0,0,56180,4971,47.1,321,30,111,59018,115,455,85.3550593441963,8.36853751760209,1.36793401730034,0.784550392275196,49.8491249245625,0,4.69196246430029,18.5638514891881,6.45745322872661,0,8.04667069000201,44944,129,263,331,549,665,752,810,891,1027,1189,1523,1669,1844,1921,2032,809.3504,0.398302362204724
"52",2011,"Amador","95666",0,0,0,0,2,0,0,56180,5310,57.3,310,81,0,54460,205,877,89.5856873822976,3.35216572504708,0,0.546139359698682,46.5160075329567,0.564971751412429,6.72792911060059,28.7824089268133,5.83804143126177,0,3.76647834274953,44944,187,333,505,554,604,761,940,1043,1309,1560,1888,2067,2208,2402,2402,937.9952,0.390505911740217
"53",2011,"Amador","95669",0,0,0,0,6,0,0,56180,2509,48.9,191,42,23,58917,53,169,82.5827022718214,7.25388601036269,0.239139099242726,0,51.0163411717816,2.11239537664408,4.19968304278922,13.391442155309,7.61259465922678,0,23.9139099242726,44944,82,127,195,267,352,376,412,465,500,603,703,763,803,964,987,411.5968,0.417018034447822
"54",2011,"Amador","95675",0,0,0,0,1,0,0,56180,578,51.8,164,34,11,31544,40,25,90.1384083044983,6.9204152249135,2.94117647058824,0,63.1487889273356,0,14.0845070422535,8.80281690140845,28.3737024221453,0,17.3010380622837,44944,54,107,107,107,141,221,221,221,245,245,245,245,245,245,256,221,0.86328125
"55",2011,"Amador","95685",0,0,0,0,2,0,0,56180,4954,50.5,275,89,57,54881,116,635,83.0238191360517,10.3148970528866,2.40209931368591,0,49.838514331853,0.686314089624546,4.66237942122186,25.5225080385852,5.55106984255147,0,4.0371417036738,44944,163,298,398,569,622,729,810,926,1191,1363,1668,1786,1900,2023,2080,809.0928,0.388986923076923
"56",2011,"Amador","95689",0,0,0,0,4,0,0,56180,1088,60.9,16,16,42,75740,10,122,94.9448529411765,0.827205882352941,0,0,48.9889705882353,0,1.74520069808028,21.2914485165794,1.47058823529412,0,36.7647058823529,44944,31,68,81,102,142,159,205,227,249,283,429,530,537,553,595,204.4848,0.343671932773109
"57",2011,"Amador","95699",0,0,0,0,0,0,NA,56180,138,55.1,0,0,0,21172,0,21,100,0,0,0,76.0869565217391,0,0,38.8888888888889,0,0,0,44944,0,33,49,49,49,49,60,60,60,81,81,81,81,81,81,59.8768,0.73921975308642
"58",2011,"Butte","95914",0,0,0,0,2,0,0,42971,614,50.1,137,11,0,47446,37,11,88.9250814332247,1.46579804560261,0,0,46.4169381107492,0,11.9741100323625,3.55987055016181,22.3127035830619,0,32.5732899022801,34376.8,37,78,83,83,83,88,103,126,168,176,222,244,245,251,251,83,0.330677290836653
"59",2011,"Butte","95916",0,0,0,0,1,0,0,42971,1370,51.1,251,73,4,34479,162,68,85.6204379562044,3.86861313868613,0,0,55.5474452554745,0.802919708029197,19.8773006134969,8.34355828220859,18.3211678832117,0,7.2992700729927,34376.8,111,185,250,284,314,350,372,404,458,542,580,595,595,614,618,310.2608,0.502040129449838
"60",2011,"Butte","95917",0,0,0,0,4,0,0,42971,3541,34.4,814,69,0,42532,422,141,62.7223948037278,26.6308952273369,5.30923467946908,0.76249646992375,54.3914148545609,15.2216887884778,23.6282194848824,7.89473684210526,22.9878565377012,0,11.2962439988704,34376.8,155,232,318,397,435,511,636,673,728,870,946,1034,1089,1120,1120,430.26368,0.384164
"61",2011,"Butte","95926",0,0,0,0,23,0,0,42971,38064,27.5,10069,1633,226,39266,1473,5949,73.1215846994536,12.9177175283733,6.7780580075662,1.59468263976461,49.973728457335,2.43011769651114,8.77569258266309,35.4423592493298,26.4528163093737,0,6.04245481294662,34376.8,2981,4027,5280,6204,6858,7598,8294,8812,9874,11062,12660,13769,14219,14737,14963,6776.48544,0.452882806923745
"62",2011,"Butte","95928",0,0,0,0,33,0,0,42971,37059,29.5,7973,1221,341,41783,1452,6448,75.9113845489625,15.9070671092042,2.64713025176071,1.93205429180496,48.3769124908929,3.86410858360992,8.60189573459716,38.1990521327014,21.5143419951968,0,8.90471950133571,34376.8,2502,3399,4155,5056,5984,6867,7673,8166,9274,10491,12063,13074,13533,14139,14480,5868.33408,0.405271690607735
"63",2011,"Butte","95938",0,0,0,0,4,0,0,42971,3797,35.9,278,31,165,67074,33,745,88.3855675533316,4.2665262048986,2.10692652093758,0.342375559652357,53.3052409797208,0.579404793257835,1.78282009724473,40.2485143165856,7.3215696602581,0,10.5346326046879,34376.8,71,101,154,225,248,308,376,385,544,763,1004,1070,1150,1217,1382,245.13328,0.177375745296671
"64",2011,"Butte","95941",0,0,0,0,0,0,NA,42971,491,49,118,16,0,58333,56,0,83.9103869653768,5.90631364562118,0,0,59.2668024439918,0,20,0,24.0325865580448,0,0,34376.8,29,47,47,47,62,65,94,94,109,109,154,154,154,198,198,60.1304,0.303688888888889
