"","pop","male_pop","white_pop","hisp_pop","med_age","black_pop","asian_pop","nonfluent_english_pop","pov","inc_under10","inc_10to15","inc_15to20","inc_20to25","inc_25to30","inc_30to35","inc_35to40","inc_40to45","inc_45to50","inc_50to60","inc_60to75","inc_75to100","inc_100to125","inc_125to150","inc_150to200","inc_over200","ed_LThighschool","ed_college","year","county","county_medianinc","whiteshare","hispshare","asianshare","blackshare","maleshare","nonfluentshare","LThighschoolshare","collegeshare","poverty_rate"
"68",930517,464903,303916,467958,30.7,47376,88770,127802,226967,21153,20697,19481,19486,16644,15900,14298,14067,12268,21786,27025,31546,20229,12210,11352,8940,118165,88978,2012,"Fresno",45741,32.6609830878963,50.2901075423662,9.53985794993536,5.09136318842106,49.9617954320018,13.7345153285754,26.187600421076,19.7192088204333,24.3914941908638
"69",28078,14207,15674,10525,36.5,236,680,3569,5383,632,820,673,672,650,659,531,367,524,643,972,1131,528,261,154,323,3595,2163,2012,"Glenn",42641,55.8230643208206,37.4848635942731,2.42182491630458,0.840515706246884,50.5983332146164,12.7110193033692,25.8763406031815,15.5689915784928,19.1715934183346
"70",134317,67287,103889,13208,37.5,1647,3205,2799,25729,4414,4627,3752,3716,3161,3350,3207,2595,2254,4647,4922,5705,3213,1366,1285,1093,6257,19670,2012,"Humboldt",40830,77.346128933791,9.83345369536246,2.38614620636256,1.22620368233358,50.0956692004735,2.08387620331008,8.64417550839965,27.1745137046861,19.1554308092051
"71",173487,89318,23876,139382,31.8,5643,2680,49398,37544,4570,4457,4012,3087,2517,2795,1872,2322,1969,3376,4225,5304,3061,2046,1395,920,26245,12300,2012,"Imperial",41255,13.7624144748598,80.3414665075769,1.54478433542571,3.25269328537585,51.48397286252,28.4736032094624,30.8126702357472,14.4406875176106,21.6408145855309
"72",18474,9396,12202,3575,45.7,165,269,761,2035,396,602,531,598,528,415,375,510,296,526,667,1038,744,233,316,135,970,2144,2012,"Inyo",45000,66.049583198008,19.3515210566201,1.45610046551911,0.893147125690159,50.8606690483923,4.11930280394067,9.88988580750408,21.8597063621533,11.0154812168453
"73",839153,432484,323572,412779,30.7,46649,34451,123070,180779,16811,18688,15873,15701,15472,13335,13105,12191,10238,20435,24794,28284,19343,11131,10799,6978,116560,60889,2012,"Kern",47727,38.5593568753255,49.1899570161818,4.10544918507114,5.55905776419795,51.5381581189604,14.6659786713508,28.0342587492815,14.6446292122941,21.543032081158
"74",151982,85499,53890,77382,31.2,10470,5737,24305,27679,2658,2388,2135,2549,2501,2360,2171,2138,2038,3470,4516,4246,3057,1829,1832,879,22332,9985,2012,"Kings",48761,35.4581463594373,50.9152399626272,3.77478911976418,6.88897369425327,56.2560040004737,15.9920253714256,27.9317590554333,12.4887432459476,18.2120251082365
"75",64360,32529,47662,11068,44.8,1495,719,3150,15036,2302,2425,1992,2130,1762,1449,1511,1295,1361,1917,2077,2325,1566,902,618,471,4242,5446,2012,"Lake",38147,74.0553138595401,17.1970167806091,1.11715351149782,2.32287134866377,50.5422622747048,4.89434431323804,12.2849695916594,15.7717926440776,23.3623368551896
"76",34628,22681,23029,6108,37.4,2931,451,1286,3724,615,688,490,727,462,413,447,585,419,819,1138,1533,740,496,303,252,4394,2724,2012,"Lassen",51921,66.5039852142775,17.6389049324246,1.30241423125794,8.46424858496015,65.4990181356128,3.71375765276655,20.6049237983587,12.7737397420868,10.7543028762851
"77",9840024,4852259,2731605,4694846,34.8,839837,1360561,1695391,1658231,201440,190527,170409,163312,157991,153817,143722,142459,124405,242400,308571,382770,269731,170554,187449,208954,1187773,1614690,2012,"Los Angeles",56241,27.7601457069617,47.7117332234149,13.826805706978,8.53490804493973,49.3114549314107,17.2295413100618,22.4031562045497,30.4554424893683,16.8518999547156
"78",150615,72557,57468,80939,33.2,5248,3012,24617,29900,2627,2264,2630,2945,2182,2796,1887,2645,1789,4143,4626,4510,3182,1669,1097,1071,24403,10056,2012,"Madera",47937,38.1555621950005,53.7390034193141,1.99980081665173,3.484380705773,48.1738206685921,16.344321614713,32.5990542093029,13.4334339683133,19.8519403777844
